[2024-12-27 20:57:58,050, 13, root, INFO - Initiate the data ingestion]
[2024-12-27 20:58:01,688, 67, root, INFO - Performed train test split on the dataframe]
[2024-12-27 20:58:01,689, 69, root, INFO - Exited split_data_as_train_test method of Data_Ingestion class]
[2024-12-27 20:58:01,689, 77, root, INFO - Exporting train and test file path.]
[2024-12-27 20:58:01,732, 86, root, INFO - Exported train and test file path.]
[2024-12-27 20:58:01,733, 16, root, INFO - Data Initiation Completed]
[2024-12-27 20:58:01,749, 19, root, INFO - Initiate the data validation]
[2024-12-27 20:58:01,803, 32, root, INFO - Required number of columns:2]
[2024-12-27 20:58:01,803, 33, root, INFO - Data frame has columns:31]
[2024-12-27 20:58:01,803, 32, root, INFO - Required number of columns:2]
[2024-12-27 20:58:01,803, 33, root, INFO - Data frame has columns:31]
[2024-12-27 20:58:01,921, 21, root, INFO - data validation completed]
